trade_id,entry_time,entry_price,exit_time,exit_price,side,leg,floating_max_usd,floating_min_usd,realised_pnl_usd,exit_reason
0,2026-01-30 16:25:00,5072.07,2026-01-30 16:50:00,5050.22,SHORT,A,5.78,-8.15,4.37,TP(leg A)
1,2026-01-30 16:25:00,5072.07,2026-01-30 16:50:00,5051.586,SHORT,B,5.78,-8.15,4.1,TP(fixed)
2,2026-02-02 13:45:00,4775.43,2026-02-02 13:50:00,4758.911,SHORT,A,3.83,-0.59,3.3,TP(leg A)
3,2026-02-02 13:45:00,4775.43,2026-02-02 13:50:00,4759.943,SHORT,B,3.83,-0.59,3.1,TP(fixed)
4,2026-02-02 14:40:00,4796.01,2026-02-02 14:40:00,4780.819,SHORT,A,3.84,-0.06,3.04,TP(leg A)
5,2026-02-02 14:40:00,4796.01,2026-02-02 14:40:00,4781.768,SHORT,B,3.84,-0.06,2.85,TP(fixed)
6,2026-02-02 16:30:00,4759.12,2026-02-02 16:30:00,4735.134,SHORT,A,9.99,-0.66,4.8,TP(leg A)
7,2026-02-02 16:30:00,4759.12,2026-02-02 16:30:00,4736.633,SHORT,B,9.99,-0.66,4.5,TP(fixed)
8,2026-02-02 16:35:00,4778.56,2026-02-02 16:35:00,4753.867,SHORT,A,5.82,-2.65,4.94,TP(leg A)
9,2026-02-02 16:35:00,4778.56,2026-02-02 16:35:00,4755.411,SHORT,B,5.82,-2.65,4.63,TP(fixed)
10,2026-02-04 13:15:00,5029.13,2026-02-04 13:15:00,5037.039,LONG,A,2.74,-3.26,1.58,TP(leg A)
11,2026-02-04 13:15:00,5029.13,2026-02-04 13:15:00,5037.534,LONG,B,2.74,-3.26,1.68,TP(fixed)
12,2026-02-04 13:20:00,5030.47,2026-02-04 13:35:00,5038.269,LONG,A,1.6,-2.39,1.56,TP(leg A)
13,2026-02-04 13:20:00,5030.47,2026-02-04 13:50:00,5038.756,LONG,B,2.82,-2.39,1.66,TP(fixed)
14,2026-02-04 15:05:00,5028.64,2026-02-04 15:05:00,5036.657,LONG,A,2.26,-0.09,1.6,TP(leg A)
15,2026-02-04 15:05:00,5028.64,2026-02-04 15:05:00,5037.158,LONG,B,2.26,-0.09,1.7,TP(fixed)
16,2026-02-04 15:10:00,5028.49,2026-02-04 15:15:00,5036.596,LONG,A,2.58,-1.27,1.62,TP(leg A)
17,2026-02-04 15:10:00,5028.49,2026-02-04 15:15:00,5037.103,LONG,B,2.58,-1.27,1.72,TP(fixed)
18,2026-02-05 13:05:00,4883.82,2026-02-05 13:35:00,4874.058,SHORT,B,2.98,-3.03,2.93,TP(fixed)
19,2026-02-05 13:05:00,4883.82,2026-02-05 13:40:00,4873.407,SHORT,A,4.2,-3.03,3.12,TP(leg A)
20,2026-02-05 18:50:00,4902.49,2026-02-05 18:50:00,4886.258,SHORT,A,5.7,-0.98,4.87,TP(leg A)
21,2026-02-05 18:50:00,4902.49,2026-02-05 18:50:00,4887.272,SHORT,B,5.7,-0.98,4.57,TP(fixed)
22,2026-02-05 18:55:00,4888.19,2026-02-05 19:00:00,4872.025,SHORT,A,6.09,-4.31,4.85,TP(leg A)
23,2026-02-05 18:55:00,4888.19,2026-02-05 19:00:00,4873.035,SHORT,B,6.09,-4.31,4.55,TP(fixed)
24,2026-02-06 16:20:00,4904.55,2026-02-06 16:20:00,4914.642,LONG,A,5.33,-0.75,3.03,TP(leg A)
25,2026-02-06 16:20:00,4904.55,2026-02-06 16:20:00,4915.273,LONG,B,5.33,-0.75,3.22,TP(fixed)
