trade_id,entry_time,entry_price,exit_time,exit_price,side,leg,floating_max_usd,floating_min_usd,realised_pnl_usd,exit_reason
26,2026-02-06 16:25:00,4904.8,2026-02-06 16:30:00,4914.938,LONG,A,7.48,-3.27,3.04,TP(leg A)
27,2026-02-06 16:25:00,4904.8,2026-02-06 16:30:00,4915.572,LONG,B,7.48,-3.27,3.23,TP(fixed)
28,2026-02-09 19:55:00,5045.96,2026-02-09 19:55:00,5052.255,LONG,A,2.61,-1.78,1.89,TP(leg A)
29,2026-02-09 19:55:00,5045.96,2026-02-09 19:55:00,5052.648,LONG,B,2.61,-1.78,2.01,TP(fixed)
30,2026-02-10 19:15:00,5031.53,2026-02-10 19:15:00,5024.234,SHORT,A,2.55,-0.27,2.19,TP(leg A)
31,2026-02-10 19:15:00,5031.53,2026-02-10 19:15:00,5024.69,SHORT,B,2.55,-0.27,2.05,TP(fixed)
32,2026-02-10 19:20:00,5032.78,2026-02-10 19:50:00,5025.757,SHORT,A,2.31,-1.77,2.11,TP(leg A)
33,2026-02-10 19:20:00,5032.78,2026-02-10 19:50:00,5026.196,SHORT,B,2.31,-1.77,1.98,TP(fixed)
34,2026-02-13 16:15:00,5002.78,2026-02-13 16:15:00,4994.565,SHORT,A,2.48,-0.87,2.46,TP(leg A)
35,2026-02-13 16:15:00,5002.78,2026-02-13 16:15:00,4995.078,SHORT,B,2.48,-0.87,2.31,TP(fixed)
36,2026-02-16 14:10:00,4996.59,2026-02-16 14:10:00,4999.496,LONG,A,1.31,-0.15,0.87,TP(leg A)
37,2026-02-16 14:10:00,4996.59,2026-02-16 14:10:00,4999.677,LONG,B,1.31,-0.15,0.93,TP(fixed)
38,2026-02-16 14:25:00,4993.65,2026-02-16 14:25:00,4996.627,LONG,A,0.94,-0.44,0.89,TP(leg A)
39,2026-02-16 14:25:00,4993.65,2026-02-16 14:30:00,4996.813,LONG,B,3.06,-0.54,0.95,TP(fixed)
40,2026-02-16 19:25:00,4993.4,2026-02-16 19:40:00,4990.524,SHORT,B,0.9,-0.45,0.86,TP(fixed)
41,2026-02-16 19:25:00,4993.4,2026-02-16 19:45:00,4990.332,SHORT,A,1.15,-0.45,0.92,TP(leg A)
42,2026-02-17 20:55:00,4897.95,2026-02-17 21:15:00,4890.525,SHORT,A,2.68,-3.43,2.23,TP(leg A)
43,2026-02-17 20:55:00,4897.95,2026-02-17 21:15:00,4890.989,SHORT,B,2.68,-3.43,2.09,TP(fixed)
44,2026-02-18 19:30:00,4995.56,2026-02-18 19:30:00,4999.569,LONG,A,1.37,-0.6,1.2,TP(leg A)
45,2026-02-18 19:30:00,4995.56,2026-02-18 19:30:00,4999.82,LONG,B,1.37,-0.6,1.28,TP(fixed)
46,2026-02-18 19:35:00,4995.0,2026-02-18 19:35:00,4999.037,LONG,A,1.27,-0.38,1.21,TP(leg A)
47,2026-02-18 19:35:00,4995.0,2026-02-18 19:45:00,4999.29,LONG,B,1.57,-0.45,1.29,TP(fixed)
48,2026-02-18 20:35:00,4986.74,2026-02-18 20:35:00,4990.976,LONG,A,1.98,-1.24,1.27,TP(leg A)
49,2026-02-18 20:35:00,4986.74,2026-02-18 20:35:00,4991.241,LONG,B,1.98,-1.24,1.35,TP(fixed)
50,2026-02-18 20:40:00,4984.2,2026-02-18 21:00:00,4988.554,LONG,A,2.96,-1.07,1.31,TP(leg A)
51,2026-02-18 20:40:00,4984.2,2026-02-18 21:00:00,4988.826,LONG,B,2.96,-1.07,1.39,TP(fixed)
52,2026-02-19 13:40:00,4981.36,2026-02-19 14:05:00,4985.49,LONG,A,2.07,-1.52,1.24,TP(leg A)
53,2026-02-19 13:40:00,4981.36,2026-02-19 14:05:00,4985.748,LONG,B,2.07,-1.52,1.32,TP(fixed)
54,2026-02-19 16:10:00,4970.36,2026-02-19 16:10:00,4975.656,LONG,A,2.02,-0.16,1.59,TP(leg A)
55,2026-02-19 16:10:00,4970.36,2026-02-19 16:10:00,4975.987,LONG,B,2.02,-0.16,1.69,TP(fixed)
56,2026-02-19 20:20:00,4978.31,2026-02-19 21:05:00,4983.684,LONG,A,2.62,-1.24,1.61,TP(leg A)
57,2026-02-19 20:20:00,4978.31,2026-02-19 21:05:00,4984.02,LONG,B,2.62,-1.24,1.71,TP(fixed)
58,2026-02-20 14:25:00,5011.18,2026-02-20 14:25:00,5015.644,LONG,A,1.91,-0.24,1.34,TP(leg A)
59,2026-02-20 14:25:00,5011.18,2026-02-20 14:25:00,5015.923,LONG,B,1.91,-0.24,1.42,TP(fixed)
60,2026-02-24 17:45:00,5151.45,2026-02-24 17:50:00,5143.882,SHORT,A,2.29,-0.8,2.27,TP(leg A)
61,2026-02-24 17:45:00,5151.45,2026-02-24 17:50:00,5144.355,SHORT,B,2.29,-0.8,2.13,TP(fixed)
62,2026-02-25 13:15:00,5157.67,2026-02-25 13:15:00,5161.97,LONG,A,1.76,-1.52,1.29,TP(leg A)
63,2026-02-25 13:15:00,5157.67,2026-02-25 13:15:00,5162.238,LONG,B,1.76,-1.52,1.37,TP(fixed)
64,2026-02-26 14:30:00,5180.47,2026-02-26 14:30:00,5176.231,SHORT,A,1.51,-0.38,1.27,TP(leg A)
65,2026-02-26 14:30:00,5180.47,2026-02-26 14:30:00,5176.496,SHORT,B,1.51,-0.38,1.19,TP(fixed)
66,2026-02-26 14:35:00,5179.98,2026-02-26 15:00:00,5175.795,SHORT,A,1.87,-1.71,1.26,TP(leg A)
67,2026-02-26 14:35:00,5179.98,2026-02-26 15:00:00,5176.057,SHORT,B,1.87,-1.71,1.18,TP(fixed)
68,2026-02-27 14:05:00,5186.47,2026-02-27 14:05:00,5183.632,SHORT,A,0.92,-0.67,0.85,TP(leg A)
69,2026-02-27 14:05:00,5186.47,2026-02-27 14:05:00,5183.81,SHORT,B,0.92,-0.67,0.8,TP(fixed)
70,2026-02-27 14:15:00,5186.45,2026-02-27 14:25:00,5183.692,SHORT,A,1.12,-0.54,0.83,TP(leg A)
71,2026-02-27 14:15:00,5186.45,2026-02-27 14:25:00,5183.864,SHORT,B,1.12,-0.54,0.78,TP(fixed)
72,2026-03-02 19:30:00,5317.53,2026-03-02 19:30:00,5305.363,SHORT,A,4.53,-0.33,3.65,TP(leg A)
73,2026-03-02 19:30:00,5317.53,2026-03-02 19:30:00,5306.123,SHORT,B,4.53,-0.33,3.42,TP(fixed)
74,2026-03-03 18:20:00,5120.19,2026-03-03 18:45:00,5101.651,SHORT,A,6.18,-4.07,5.56,TP(leg A)
75,2026-03-03 18:20:00,5120.19,2026-03-03 18:45:00,5102.81,SHORT,B,6.18,-4.07,5.21,TP(fixed)
76,2026-03-04 14:40:00,5166.04,2026-03-04 15:00:00,5172.171,LONG,A,4.26,-3.21,1.84,TP(leg A)
77,2026-03-04 14:40:00,5166.04,2026-03-04 15:00:00,5172.554,LONG,B,4.26,-3.21,1.95,TP(fixed)
78,2026-03-04 16:55:00,5144.25,2026-03-04 17:00:00,5154.747,LONG,A,5.25,-2.04,3.15,TP(leg A)
79,2026-03-04 16:55:00,5144.25,2026-03-04 17:00:00,5155.403,LONG,B,5.25,-2.04,3.35,TP(fixed)
80,2026-03-05 19:00:00,5084.35,2026-03-05 19:00:00,5074.013,SHORT,A,3.65,-0.09,3.1,TP(leg A)
81,2026-03-05 19:00:00,5084.35,2026-03-05 19:00:00,5074.659,SHORT,B,3.65,-0.09,2.91,TP(fixed)
82,2026-03-05 19:05:00,5085.21,2026-03-05 19:25:00,5075.254,SHORT,A,3.58,-0.76,2.99,TP(leg A)
83,2026-03-05 19:05:00,5085.21,2026-03-05 19:25:00,5075.876,SHORT,B,3.58,-0.76,2.8,TP(fixed)
84,2026-03-05 20:35:00,5078.76,2026-03-05 20:35:00,5070.45,SHORT,A,2.87,-0.23,2.49,TP(leg A)
85,2026-03-05 20:35:00,5078.76,2026-03-05 20:35:00,5070.97,SHORT,B,2.87,-0.23,2.34,TP(fixed)
86,2026-03-05 20:40:00,5081.14,2026-03-05 20:50:00,5073.105,SHORT,A,4.78,-0.75,2.41,TP(leg A)
87,2026-03-05 20:40:00,5081.14,2026-03-05 20:50:00,5073.607,SHORT,B,4.78,-0.75,2.26,TP(fixed)
88,2026-03-06 13:20:00,5093.69,2026-03-06 13:20:00,5087.947,SHORT,A,1.92,-0.67,1.72,TP(leg A)
89,2026-03-06 13:20:00,5093.69,2026-03-06 13:20:00,5088.306,SHORT,B,1.92,-0.67,1.62,TP(fixed)
90,2026-03-06 14:15:00,5094.19,2026-03-06 14:15:00,5087.954,SHORT,A,2.06,-0.1,1.87,TP(leg A)
91,2026-03-06 14:15:00,5094.19,2026-03-06 14:15:00,5088.344,SHORT,B,2.06,-0.1,1.75,TP(fixed)
92,2026-03-12 13:15:00,5173.74,2026-03-12 13:15:00,5176.95,LONG,A,1.34,-0.14,0.96,TP(leg A)
93,2026-03-12 13:15:00,5173.74,2026-03-12 13:15:00,5177.15,LONG,B,1.34,-0.14,1.02,TP(fixed)
94,2026-03-12 14:10:00,5167.09,2026-03-12 14:30:00,5170.621,LONG,A,2.07,-1.79,1.06,TP(leg A)
95,2026-03-12 14:10:00,5167.09,2026-03-12 14:30:00,5170.842,LONG,B,2.07,-1.79,1.13,TP(fixed)
96,2026-03-12 15:45:00,5148.3,2026-03-12 15:45:00,5153.865,LONG,A,2.19,-0.13,1.67,TP(leg A)
97,2026-03-12 15:45:00,5148.3,2026-03-12 15:45:00,5154.213,LONG,B,2.19,-0.13,1.77,TP(fixed)
98,2026-03-13 14:30:00,5112.51,2026-03-13 14:40:00,5107.89,SHORT,A,1.86,-0.6,1.39,TP(leg A)
99,2026-03-13 14:30:00,5112.51,2026-03-13 14:40:00,5108.179,SHORT,B,1.86,-0.6,1.3,TP(fixed)
100,2026-03-13 14:45:00,5119.29,2026-03-13 14:45:00,5114.378,SHORT,A,2.83,-0.17,1.47,TP(leg A)
101,2026-03-13 14:45:00,5119.29,2026-03-13 14:45:00,5114.685,SHORT,B,2.83,-0.17,1.38,TP(fixed)
102,2026-03-13 15:00:00,5118.96,2026-03-13 15:00:00,5114.132,SHORT,A,1.92,-0.07,1.45,TP(leg A)
103,2026-03-13 15:00:00,5118.96,2026-03-13 15:00:00,5114.434,SHORT,B,1.92,-0.07,1.36,TP(fixed)
104,2026-03-13 19:10:00,5053.82,2026-03-13 19:10:00,5046.049,SHORT,A,3.1,-0.01,2.33,TP(leg A)
105,2026-03-13 19:10:00,5053.82,2026-03-13 19:10:00,5046.535,SHORT,B,3.1,-0.01,2.19,TP(fixed)
106,2026-03-13 19:15:00,5058.32,2026-03-13 19:25:00,5050.731,SHORT,A,2.57,-0.24,2.28,TP(leg A)
107,2026-03-13 19:15:00,5058.32,2026-03-13 19:25:00,5051.205,SHORT,B,2.57,-0.24,2.13,TP(fixed)
108,2026-03-16 13:15:00,5011.08,2026-03-16 13:15:00,5005.752,SHORT,A,2.96,-0.3,1.6,TP(leg A)
109,2026-03-16 13:15:00,5011.08,2026-03-16 13:15:00,5006.085,SHORT,B,2.96,-0.3,1.5,TP(fixed)
110,2026-03-16 13:20:00,5017.68,2026-03-16 13:20:00,5012.255,SHORT,A,2.4,-0.1,1.63,TP(leg A)
111,2026-03-16 13:20:00,5017.68,2026-03-16 13:20:00,5012.594,SHORT,B,2.4,-0.1,1.53,TP(fixed)
112,2026-03-16 13:25:00,5016.84,2026-03-16 13:40:00,5011.856,SHORT,B,1.5,-1.01,1.5,TP(fixed)
113,2026-03-16 13:25:00,5016.84,2026-03-16 13:45:00,5011.524,SHORT,A,2.39,-1.01,1.59,TP(leg A)
114,2026-03-16 15:40:00,5029.52,2026-03-16 15:40:00,5023.609,SHORT,A,2.61,-0.53,1.77,TP(leg A)
115,2026-03-16 15:40:00,5029.52,2026-03-16 15:40:00,5023.979,SHORT,B,2.61,-0.53,1.66,TP(fixed)
116,2026-03-16 16:05:00,5030.45,2026-03-16 16:15:00,5024.493,SHORT,A,2.48,-1.73,1.79,TP(leg A)
117,2026-03-16 16:05:00,5030.45,2026-03-16 16:15:00,5024.865,SHORT,B,2.48,-1.73,1.68,TP(fixed)
118,2026-03-16 19:10:00,4999.22,2026-03-16 19:10:00,4993.752,SHORT,A,1.8,-0.52,1.64,TP(leg A)
119,2026-03-16 19:10:00,4999.22,2026-03-16 19:10:00,4994.093,SHORT,B,1.8,-0.52,1.54,TP(fixed)
120,2026-03-16 19:15:00,4998.94,2026-03-16 19:20:00,4994.02,SHORT,B,1.49,-0.46,1.48,TP(fixed)
121,2026-03-16 19:15:00,4998.94,2026-03-16 19:25:00,4993.692,SHORT,A,1.94,-0.46,1.57,TP(leg A)
122,2026-03-17 13:20:00,5006.67,2026-03-17 13:30:00,5002.463,SHORT,A,1.53,-0.05,1.26,TP(leg A)
123,2026-03-17 13:20:00,5006.67,2026-03-17 13:30:00,5002.726,SHORT,B,1.53,-0.05,1.18,TP(fixed)
124,2026-03-18 19:20:00,4896.29,2026-03-18 19:20:00,4890.876,SHORT,A,2.7,-0.25,1.62,TP(leg A)
125,2026-03-18 19:20:00,4896.29,2026-03-18 19:20:00,4891.214,SHORT,B,2.7,-0.25,1.52,TP(fixed)
126,2026-03-18 19:35:00,4898.25,2026-03-18 19:40:00,4892.909,SHORT,A,2.46,-0.16,1.6,TP(leg A)
127,2026-03-18 19:35:00,4898.25,2026-03-18 19:40:00,4893.243,SHORT,B,2.46,-0.16,1.5,TP(fixed)
128,2026-03-20 14:05:00,4687.6,2026-03-20 14:05:00,4679.616,SHORT,A,2.58,-0.14,2.4,TP(leg A)
129,2026-03-20 14:05:00,4687.6,2026-03-20 14:05:00,4680.115,SHORT,B,2.58,-0.14,2.25,TP(fixed)
130,2026-03-20 14:10:00,4685.32,2026-03-20 14:25:00,4677.701,SHORT,B,2.3,-3.06,2.29,TP(fixed)
131,2026-03-20 14:10:00,4685.32,2026-03-20 14:30:00,4677.193,SHORT,A,4.61,-3.06,2.44,TP(leg A)
132,2026-03-23 14:55:00,4478.37,2026-03-23 15:00:00,4453.265,SHORT,A,12.0,-4.31,7.53,TP(leg A)
133,2026-03-23 14:55:00,4478.37,2026-03-23 15:00:00,4454.834,SHORT,B,12.0,-4.31,7.06,TP(fixed)
134,2026-03-23 18:25:00,4355.27,2026-03-23 18:30:00,4374.518,LONG,A,6.5,-0.83,5.77,TP(leg A)
135,2026-03-23 18:25:00,4355.27,2026-03-23 18:30:00,4375.721,LONG,B,6.5,-0.83,6.14,TP(fixed)
136,2026-03-24 13:50:00,4401.21,2026-03-24 13:50:00,4412.649,LONG,A,7.0,-3.13,3.43,TP(leg A)
137,2026-03-24 13:50:00,4401.21,2026-03-24 13:50:00,4413.364,LONG,B,7.0,-3.13,3.65,TP(fixed)
138,2026-03-24 15:05:00,4369.02,2026-03-24 15:05:00,4382.111,LONG,A,4.79,-1.41,3.93,TP(leg A)
139,2026-03-24 15:05:00,4369.02,2026-03-24 15:05:00,4382.93,LONG,B,4.79,-1.41,4.17,TP(fixed)
140,2026-03-24 15:25:00,4357.8,2026-03-24 15:25:00,4370.76,LONG,A,6.29,-0.13,3.89,TP(leg A)
141,2026-03-24 15:25:00,4357.8,2026-03-24 15:25:00,4371.57,LONG,B,6.29,-0.13,4.13,TP(fixed)
142,2026-03-24 15:35:00,4356.13,2026-03-24 15:50:00,4368.93,LONG,A,6.73,-1.35,3.84,TP(leg A)
143,2026-03-24 15:35:00,4356.13,2026-03-24 15:50:00,4369.73,LONG,B,6.73,-1.35,4.08,TP(fixed)
144,2026-03-24 19:30:00,4383.61,2026-03-24 19:30:00,4392.782,LONG,A,4.91,-0.68,2.75,TP(leg A)
145,2026-03-24 19:30:00,4383.61,2026-03-24 19:30:00,4393.356,LONG,B,4.91,-0.68,2.92,TP(fixed)
146,2026-03-24 19:35:00,4382.96,2026-03-24 19:55:00,4392.079,LONG,A,3.56,-3.16,2.74,TP(leg A)
147,2026-03-24 19:35:00,4382.96,2026-03-24 19:55:00,4392.649,LONG,B,3.56,-3.16,2.91,TP(fixed)
148,2026-03-25 14:30:00,4538.3,2026-03-25 14:30:00,4546.389,LONG,A,3.01,-4.9,2.43,TP(leg A)
149,2026-03-25 14:30:00,4538.3,2026-03-25 14:30:00,4546.894,LONG,B,3.01,-4.9,2.58,TP(fixed)
150,2026-03-25 15:50:00,4547.02,2026-03-25 16:15:00,4556.252,LONG,A,4.56,-4.21,2.77,TP(leg A)
151,2026-03-25 15:50:00,4547.02,2026-03-25 16:15:00,4556.829,LONG,B,4.56,-4.21,2.94,TP(fixed)
152,2026-03-26 13:00:00,4445.8,2026-03-26 13:45:00,4437.415,SHORT,A,6.02,-3.29,2.52,TP(leg A)
153,2026-03-26 13:00:00,4445.8,2026-03-26 13:45:00,4437.939,SHORT,B,6.02,-3.29,2.36,TP(fixed)
154,2026-03-26 20:40:00,4393.31,2026-03-26 21:05:00,4385.224,SHORT,A,2.53,-1.83,2.43,TP(leg A)
155,2026-03-26 20:40:00,4393.31,2026-03-26 21:05:00,4385.729,SHORT,B,2.53,-1.83,2.27,TP(fixed)
156,2026-03-27 13:45:00,4423.25,2026-03-27 13:50:00,4418.568,SHORT,B,1.47,-0.68,1.4,TP(fixed)
157,2026-03-27 13:45:00,4423.25,2026-03-27 13:55:00,4418.256,SHORT,A,2.26,-0.87,1.5,TP(leg A)
158,2026-03-27 14:50:00,4439.55,2026-03-27 15:00:00,4433.885,SHORT,A,2.39,-1.76,1.7,TP(leg A)
159,2026-03-27 14:50:00,4439.55,2026-03-27 15:00:00,4434.239,SHORT,B,2.39,-1.76,1.59,TP(fixed)
160,2026-03-27 19:25:00,4494.39,2026-03-27 20:15:00,4502.816,LONG,A,4.9,-2.47,2.53,TP(leg A)
161,2026-03-27 19:25:00,4494.39,2026-03-27 20:15:00,4503.343,LONG,B,4.9,-2.47,2.69,TP(fixed)
162,2026-03-30 16:55:00,4523.79,2026-03-30 16:55:00,4532.166,LONG,A,3.01,-2.12,2.51,TP(leg A)
163,2026-03-30 16:55:00,4523.79,2026-03-30 16:55:00,4532.689,LONG,B,3.01,-2.12,2.67,TP(fixed)
164,2026-03-30 17:05:00,4526.49,2026-03-30 17:45:00,4535.12,LONG,A,4.1,-4.42,2.59,TP(leg A)
165,2026-03-30 17:05:00,4526.49,2026-03-30 17:45:00,4535.66,LONG,B,4.1,-4.42,2.75,TP(fixed)
166,2026-03-30 20:30:00,4517.1,2026-03-30 20:30:00,4523.517,LONG,A,3.11,-0.5,1.92,TP(leg A)
167,2026-03-30 20:30:00,4517.1,2026-03-30 20:30:00,4523.918,LONG,B,3.11,-0.5,2.05,TP(fixed)
168,2026-03-30 20:35:00,4517.51,2026-03-30 20:40:00,4523.752,LONG,A,2.41,-0.85,1.87,TP(leg A)
169,2026-03-30 20:35:00,4517.51,2026-03-30 20:40:00,4524.142,LONG,B,2.41,-0.85,1.99,TP(fixed)
170,2026-03-31 13:35:00,4534.45,2026-03-31 13:35:00,4539.777,LONG,A,6.58,-0.52,1.6,TP(leg A)
171,2026-03-31 13:35:00,4534.45,2026-03-31 13:35:00,4540.11,LONG,B,6.58,-0.52,1.7,TP(fixed)
172,2026-04-01 15:20:00,4732.92,2026-04-01 15:20:00,4738.767,LONG,A,2.65,-0.62,1.75,TP(leg A)
173,2026-04-01 15:20:00,4732.92,2026-04-01 15:20:00,4739.132,LONG,B,2.65,-0.62,1.86,TP(fixed)
174,2026-04-02 15:20:00,4628.13,2026-04-02 15:20:00,4620.132,SHORT,A,4.94,-0.25,2.4,TP(leg A)
175,2026-04-02 15:20:00,4628.13,2026-04-02 15:20:00,4620.632,SHORT,B,4.94,-0.25,2.25,TP(fixed)
176,2026-04-02 15:25:00,4626.17,2026-04-02 15:40:00,4618.374,SHORT,A,3.12,-1.19,2.34,TP(leg A)
177,2026-04-02 15:25:00,4626.17,2026-04-02 15:40:00,4618.861,SHORT,B,3.12,-1.19,2.19,TP(fixed)
178,2026-04-06 13:10:00,4687.36,2026-04-06 13:10:00,4692.188,LONG,A,2.82,-0.35,1.45,TP(leg A)
179,2026-04-06 13:10:00,4687.36,2026-04-06 13:10:00,4692.489,LONG,B,2.82,-0.35,1.54,TP(fixed)
180,2026-04-06 14:55:00,4678.39,2026-04-06 14:55:00,4683.094,LONG,A,1.88,-0.43,1.41,TP(leg A)
181,2026-04-06 14:55:00,4678.39,2026-04-06 14:55:00,4683.388,LONG,B,1.88,-0.43,1.5,TP(fixed)
182,2026-04-06 15:20:00,4664.35,2026-04-06 15:20:00,4669.562,LONG,A,2.6,-0.84,1.56,TP(leg A)
183,2026-04-06 15:20:00,4664.35,2026-04-06 15:20:00,4669.888,LONG,B,2.6,-0.84,1.66,TP(fixed)
184,2026-04-06 15:25:00,4666.32,2026-04-06 15:30:00,4671.616,LONG,A,2.74,-2.05,1.59,TP(leg A)
185,2026-04-06 15:25:00,4666.32,2026-04-06 15:30:00,4671.946,LONG,B,2.74,-2.05,1.69,TP(fixed)
186,2026-04-06 16:10:00,4668.83,2026-04-06 16:30:00,4673.955,LONG,A,2.21,-2.8,1.54,TP(leg A)
187,2026-04-06 16:10:00,4668.83,2026-04-06 16:30:00,4674.276,LONG,B,2.21,-2.8,1.63,TP(fixed)
188,2026-04-06 18:35:00,4655.7,2026-04-06 18:35:00,4663.531,LONG,A,3.66,-1.16,2.35,TP(leg A)
189,2026-04-06 18:35:00,4655.7,2026-04-06 18:35:00,4664.021,LONG,B,3.66,-1.16,2.5,TP(fixed)
190,2026-04-07 20:05:00,4667.35,2026-04-07 20:15:00,4660.678,SHORT,A,3.62,-1.74,2.0,TP(leg A)
191,2026-04-07 20:05:00,4667.35,2026-04-07 20:15:00,4661.095,SHORT,B,3.62,-1.74,1.88,TP(fixed)
192,2026-04-08 13:15:00,4776.72,2026-04-08 13:15:00,4783.001,LONG,A,1.93,-1.68,1.88,TP(leg A)
193,2026-04-08 13:15:00,4776.72,2026-04-08 13:30:00,4783.393,LONG,B,2.54,-1.68,2.0,TP(fixed)
194,2026-04-09 15:15:00,4739.58,2026-04-09 15:15:00,4743.674,LONG,A,1.4,-0.13,1.23,TP(leg A)
195,2026-04-09 15:15:00,4739.58,2026-04-09 15:15:00,4743.93,LONG,B,1.4,-0.13,1.3,TP(fixed)
196,2026-04-09 15:20:00,4739.85,2026-04-09 15:35:00,4743.945,LONG,A,1.52,-1.55,1.23,TP(leg A)
197,2026-04-09 15:20:00,4739.85,2026-04-09 15:35:00,4744.201,LONG,B,1.52,-1.55,1.31,TP(fixed)
198,2026-04-10 14:55:00,4767.97,2026-04-10 14:55:00,4764.407,SHORT,A,1.37,-0.23,1.07,TP(leg A)
199,2026-04-10 14:55:00,4767.97,2026-04-10 14:55:00,4764.629,SHORT,B,1.37,-0.23,1.0,TP(fixed)
200,2026-04-13 14:00:00,4725.26,2026-04-13 14:00:00,4721.686,SHORT,A,1.31,-0.18,1.07,TP(leg A)
201,2026-04-13 14:00:00,4725.26,2026-04-13 14:00:00,4721.909,SHORT,B,1.31,-0.18,1.01,TP(fixed)
202,2026-04-13 16:10:00,4734.55,2026-04-13 16:10:00,4729.661,SHORT,A,2.48,-0.55,1.47,TP(leg A)
203,2026-04-13 16:10:00,4734.55,2026-04-13 16:10:00,4729.966,SHORT,B,2.48,-0.55,1.38,TP(fixed)
204,2026-04-13 16:15:00,4735.48,2026-04-13 16:20:00,4730.614,SHORT,A,1.93,-0.75,1.46,TP(leg A)
205,2026-04-13 16:15:00,4735.48,2026-04-13 16:20:00,4730.918,SHORT,B,1.93,-0.75,1.37,TP(fixed)
206,2026-04-13 16:25:00,4733.53,2026-04-13 16:35:00,4728.723,SHORT,A,1.9,-1.25,1.44,TP(leg A)
207,2026-04-13 16:25:00,4733.53,2026-04-13 16:35:00,4729.023,SHORT,B,1.9,-1.25,1.35,TP(fixed)
208,2026-04-13 16:45:00,4738.56,2026-04-13 16:45:00,4732.953,SHORT,A,4.71,-0.73,1.68,TP(leg A)
209,2026-04-13 16:45:00,4738.56,2026-04-13 16:45:00,4733.303,SHORT,B,4.71,-0.73,1.58,TP(fixed)
210,2026-04-13 19:40:00,4740.14,2026-04-13 19:40:00,4734.233,SHORT,A,3.0,-0.07,1.77,TP(leg A)
