timeframe,strategy_name,exit_model,filter_preset,experiment_name,segment,split_time,row_count,base_candidate_count,accepted_candidate_count,candidate_acceptance_rate,trade_count,net_profit,profit_per_trade,profit_factor,win_rate,sharpe,sortino,max_drawdown,ending_balance,dominant_hour_trade_share,top_three_hours_trade_share,dominant_hour_pnl_share
M15,trend_pullback,fixed_tp,loose,baseline_all_day,IS,2025-07-23 11:15:00,96007,11110,11110,1.0,90,-532.6892944704377,-5.91876993856042,0.6153447941074487,0.4111111111111111,-2.046216584496111,-5.79687844352227,44.52913323825891,967.3107055295623,0.13333333333333333,0.3111111111111111,0.25827330179988056
M15,trend_pullback,fixed_tp,loose,session_only,IS,2025-07-23 11:15:00,96007,11110,6736,0.6063006300630063,88,-501.23821777699504,-5.695888838374944,0.6604095746183745,0.3522727272727273,-1.7218540152763855,-5.229503406839499,42.27267290661452,998.761782223005,0.14772727272727273,0.38636363636363635,0.264650296889477
M15,trend_pullback,fixed_tp,loose,volume_only,IS,2025-07-23 11:15:00,96007,11110,7110,0.63996399639964,125,32845.25407100762,262.762032568061,25.730490456129456,0.272,0.9888033516699526,235.12440445116576,35.489540745858804,34345.25407100762,0.12,0.344,0.9989494735729783
M15,trend_pullback,fixed_tp,loose,atr_only,IS,2025-07-23 11:15:00,96007,11110,9411,0.8470747074707471,91,-525.9816081125473,-5.780017671566454,0.6426846351143954,0.3626373626373626,-1.8457379641007323,-4.841114702246007,41.09636796855588,974.0183918874527,0.10989010989010989,0.26373626373626374,0.21663689319327467
M15,trend_pullback,fixed_tp,loose,adx_only,IS,2025-07-23 11:15:00,96007,11110,8317,0.7486048604860486,141,32842.5009062815,232.925538342422,24.426191453061982,0.2765957446808511,0.98828232076118,243.84802543229316,37.37316618799863,34342.5009062815,0.09929078014184398,0.28368794326241137,0.997795772787963
M15,trend_pullback,fixed_tp,loose,volume_atr,IS,2025-07-23 11:15:00,96007,11110,6596,0.5936993699369937,70,32837.39893423315,469.10569906047357,32.6899758170306,0.2571428571428571,0.9916181785326162,240.93351968848188,35.383257641289,34337.39893423315,0.14285714285714285,0.38571428571428573,0.9969453745264172
M15,trend_pullback,fixed_tp,loose,adaptive_quality,IS,2025-07-23 11:15:00,96007,11110,5105,0.4594959495949595,77,32844.98069683906,426.5581908680398,31.501806425945556,0.2727272727272727,0.9912168169836396,235.4787157398306,34.88919821462127,34344.98069683906,0.14285714285714285,0.38961038961038963,0.9969458925095855
M15,trend_pullback,fixed_tp,loose,session_plus_adaptive,IS,2025-07-23 11:15:00,96007,11110,4009,0.36084608460846085,74,32838.149056781775,443.75877103759154,31.802464427323304,0.2702702702702703,0.9912644546963246,238.52054799276024,35.33437651224691,34338.149056781775,0.17567567567567569,0.43243243243243246,0.9989714655755895
M15,trend_pullback,fixed_tp,loose,baseline_all_day,OOS,2025-07-23 11:15:00,24002,3092,3092,1.0,6,-583.6031177509904,-97.26718629183172,0.0,0.0,-23.55089185525973,-23.55089185525973,38.90687451673269,916.3968822490096,0.6666666666666666,1.0,
M15,trend_pullback,fixed_tp,loose,session_only,OOS,2025-07-23 11:15:00,24002,3092,1841,0.5954075032341527,6,-635.8478398258922,-105.97463997098203,0.0,0.0,-22.68295754114465,-22.68295754114465,42.38985598839281,864.1521601741078,0.6666666666666666,1.0,
M15,trend_pullback,fixed_tp,loose,volume_only,OOS,2025-07-23 11:15:00,24002,3092,1977,0.639391979301423,6,-583.6031177509904,-97.26718629183172,0.0,0.0,-23.55089185525973,-23.55089185525973,38.90687451673269,916.3968822490096,0.6666666666666666,1.0,
M15,trend_pullback,fixed_tp,loose,atr_only,OOS,2025-07-23 11:15:00,24002,3092,2890,0.9346701164294955,6,-583.6031177509904,-97.26718629183172,0.0,0.0,-23.55089185525973,-23.55089185525973,38.90687451673269,916.3968822490096,0.6666666666666666,1.0,
M15,trend_pullback,fixed_tp,loose,adx_only,OOS,2025-07-23 11:15:00,24002,3092,2172,0.702457956015524,6,-636.204925702732,-106.03415428378867,0.0,0.0,-22.861381154407685,-22.861381154407685,42.41366171351547,863.795074297268,0.3333333333333333,1.0,
M15,trend_pullback,fixed_tp,loose,volume_atr,OOS,2025-07-23 11:15:00,24002,3092,1930,0.6241914618369987,6,-583.6031177509904,-97.26718629183172,0.0,0.0,-23.55089185525973,-23.55089185525973,38.90687451673269,916.3968822490096,0.6666666666666666,1.0,
M15,trend_pullback,fixed_tp,loose,adaptive_quality,OOS,2025-07-23 11:15:00,24002,3092,1369,0.4427554980595084,6,-636.204925702732,-106.03415428378867,0.0,0.0,-22.861381154407685,-22.861381154407685,42.41366171351547,863.795074297268,0.3333333333333333,1.0,
M15,trend_pullback,fixed_tp,loose,session_plus_adaptive,OOS,2025-07-23 11:15:00,24002,3092,935,0.3023932729624838,273,12727.778999973953,46.62190109880569,2.596307074884533,0.38461538461538464,0.9603442424725144,34.18922301128748,55.29302759909559,14227.778999973953,0.0989010989010989,0.2857142857142857,0.8756106738775911
M15,trend_pullback,fixed_tp,moderate,baseline_all_day,IS,2025-07-23 11:15:00,96007,11110,11110,1.0,90,-532.6892944704377,-5.91876993856042,0.6153447941074487,0.4111111111111111,-2.046216584496111,-5.79687844352227,44.52913323825891,967.3107055295623,0.13333333333333333,0.3111111111111111,0.25827330179988056
M15,trend_pullback,fixed_tp,moderate,session_only,IS,2025-07-23 11:15:00,96007,11110,6736,0.6063006300630063,88,-501.23821777699504,-5.695888838374944,0.6604095746183745,0.3522727272727273,-1.7218540152763855,-5.229503406839499,42.27267290661452,998.761782223005,0.14772727272727273,0.38636363636363635,0.264650296889477
M15,trend_pullback,fixed_tp,moderate,volume_only,IS,2025-07-23 11:15:00,96007,11110,6522,0.587038703870387,115,32840.85265845268,285.572631812632,26.883072928623978,0.2608695652173913,0.9890069688901466,240.54471213905813,35.77363298533521,34340.85265845268,0.13043478260869565,0.3652173913043478,0.9984630247394859
