Filter,Trades,Win %,PF,DD %,Recovery,CAGR %,Expectancy $
Spread Only,58,34.48,0.413,27.66,-1.049,-6.54,-0.074
Regime Only,58,34.48,0.392,34.74,-1.06,-8.59,-0.0933
Baseline (no filter),58,34.48,0.392,37.83,-1.06,-9.5,-0.1014
Session + Regime,40,30.0,0.258,25.76,-1.065,-6.11,-0.1012
Session Only,40,30.0,0.258,28.04,-1.065,-6.72,-0.11
All Filters,36,27.78,0.216,12.38,-1.066,-2.77,-0.0545
Configured (FILTER_CONFIG),36,27.78,0.216,12.38,-1.066,-2.77,-0.0545
Volatility Only,54,33.33,0.373,25.75,-1.072,-6.14,-0.0753
Regime + Equity,58,34.48,0.329,24.74,-1.085,-5.93,-0.068
Volatility + Equity,54,33.33,0.322,21.56,-1.086,-5.11,-0.0639
Equity Only,58,34.48,0.334,25.17,-1.091,-6.08,-0.0694
