timeframe,candidate_count,candidate_count_score,positive_label_ratio_proxy,temporal_diversity,regime_diversity,class_balance_proxy,oos_balance_proxy,ml_readiness_score,strategy_name,exit_model,parameter_set_id
M15,2533,1.0,0.6596920647453612,1.0,0.0,0.957757599684169,0.2576961271102284,0.6642564719682318,trend_pullback,fixed_tp,d01afb4fd74e
M15,2247,1.0,0.6671117044948821,1.0,0.0,0.9586114819759679,0.25811870100783874,0.6659318683465474,trend_pullback,fixed_tp,d4727b31a3e2
M15,2533,1.0,0.5088827477299644,1.0,0.0,0.957757599684169,0.2576961271102284,0.6340946085651524,trend_pullback,fixed_tp,9fda9f9349e7
M15,2449,1.0,0.6594528378930176,1.0,0.0,0.9563086974275214,0.2571868583162218,0.663914900940165,trend_pullback,fixed_tp,d0e0e5b3e49a
M15,2449,1.0,0.5108207431604737,1.0,0.0,0.9563086974275214,0.2571868583162218,0.6341884819936563,trend_pullback,fixed_tp,46596cff594d
M15,2102,1.0,0.6579448144624167,1.0,0.0,0.9562321598477641,0.25642558278541544,0.6634876242874603,trend_pullback,fixed_tp,84ebd22839a6
M15,1976,1.0,0.6685222672064778,1.0,0.0,0.9595141700404859,0.2522179974651457,0.6654642785671403,trend_pullback,fixed_tp,9815f2b7d7f7
M15,2533,1.0,0.6628503750493486,1.0,0.0,0.957757599684169,0.2576961271102284,0.6648881340290292,trend_pullback,fixed_tp_plus_mr,d01afb4fd74e
M15,2247,1.0,0.6702269692923899,1.0,0.0,0.9586114819759679,0.25811870100783874,0.666554921306049,trend_pullback,fixed_tp_plus_mr,d4727b31a3e2
M15,2247,1.0,0.6742323097463284,1.0,0.0,0.9586114819759679,0.25811870100783874,0.6673559893968367,trend_pullback,fixed_tp,95e1fa81b201
M5,8301,1.0,0.3885074087459342,1.0,0.0,0.9950608360438502,0.2488340604784113,0.614285716227526,trend_pullback,fixed_tp,0d4ac713633c
M5,5429,1.0,0.5093018972186406,1.0,0.0,0.992816356603426,0.2506334945865008,0.6383778571222172,trend_pullback,fixed_tp,610f413c1b22
M5,5429,1.0,0.5093018972186406,1.0,0.0,0.992816356603426,0.2506334945865008,0.6383778571222172,trend_pullback,fixed_tp_plus_mr,610f413c1b22
M5,5525,1.0,0.5113122171945701,1.0,0.0,0.9936651583710407,0.24943464495703302,0.6387274139381252,trend_pullback,fixed_tp,8af825e0f9bf
M5,8301,1.0,0.3885074087459342,1.0,0.0,0.9950608360438502,0.2488340604784113,0.614285716227526,trend_pullback,fixed_tp_plus_mr,0d4ac713633c
M5,8183,1.0,0.3904436025907369,1.0,0.0,0.9954784308933153,0.24816961561928005,0.6146359274950367,trend_pullback,fixed_tp,d03a2394798b
M5,8301,1.0,0.5107818335140345,1.0,0.0,0.9950608360438502,0.2488340604784113,0.6387406011811461,trend_pullback,fixed_tp,4b4a887bdd56
M5,5525,1.0,0.5113122171945701,1.0,0.0,0.9936651583710407,0.24943464495703302,0.6387274139381252,trend_pullback,fixed_tp_plus_mr,8af825e0f9bf
M5,8183,1.0,0.5092264450690456,1.0,0.0,0.9954784308933153,0.24816961561928005,0.6383924959906985,trend_pullback,fixed_tp,07c436d95277
