timeframe,cost_mult,same_trade_set,closed_legs,win_count,loss_count,win_rate,profit_factor,expectancy_r,net_profit_cents,max_balance_dd_pct
M15,1.0,True,11,3,8,0.2727272727272727,0.22719392969057303,-0.562040778406856,-733.3736400335238,51.23987692220634
M15,2.0,True,11,3,8,0.2727272727272727,0.18385092477120726,-0.5935629638027584,-834.5736400335238,57.42743726516255
M15,3.0,True,11,3,8,0.2727272727272727,0.14632824081171122,-0.6208521885005737,-935.7736400335237,63.68826839540919
M5,1.0,True,30,16,14,0.5333333333333333,0.4609101178326737,-0.25157527834475224,-688.1393688135904,48.10871713011891
M5,2.0,True,30,16,14,0.5333333333333333,0.3139182722639752,-0.32017147294347825,-964.1393688135907,65.21680452435986
M5,3.0,True,30,16,14,0.5333333333333333,0.19160898020758357,-0.37724914256979436,-1240.1393688135906,82.92831526696605
