timeframe,scenario,xgb_threshold,score,win_rate,profit_factor,max_drawdown_pct,n_trades,ending_balance_cents,net_return_pct,net_profit_cents,profit_per_trade_cents,profit_per_trade_usd,relative_score_drop_is_to_oos
M15,IS,0.15,8.59188331349218,0.28567646280116493,1.6840773859735216,41.45927341469016,3777,48616.165653539974,3141.0777102360003,47116.165653539974,12.474494480683076,0.12474494480683075,0.22254350090222885
M15,OOS,0.15,6.679815521341645,0.35653235653235654,2.458278461770319,13.83847557672121,819,64136.972138587764,4175.798142572518,62636.972138587764,76.47981946103512,0.7647981946103513,0.22254350090222885
M5,IS,0.15,144.63710689628036,0.988313856427379,104.71162235337385,0.4514424585321896,7188,174711.10421359073,11547.406947572706,173211.10421359073,24.097259907288638,0.24097259907288637,0.5094162963829396
M5,OOS,0.15,70.95660758112447,0.9939422180801492,313.0701032657183,0.3084570542508248,2146,181912.457516608,12027.497167773887,180412.457516608,84.06917871230569,0.8406917871230568,0.5094162963829396
