Candidate ID,Timestamp,Strategy,Session Decision,TBM Decision,HMM State,HMM Decision,XGBoost Probability,Threshold,Risk Decision,Final Rejection Stage,Rejection Reason
c70a9137d415c4ba,2026-07-14T09:20:41.003778+00:00,unknown,REJECT,REJECT,,REJECT,,,REJECT,FeatureEngineering,Filtered at FeatureEngineering (from profiler)
c966eda35a011af2,2026-07-14T09:20:41.003778+00:00,unknown,REJECT,REJECT,,REJECT,,,REJECT,FeatureEngineering,Filtered at FeatureEngineering (from profiler)
d57a0ff1c54b8afc,2026-07-14T09:20:41.003778+00:00,unknown,REJECT,REJECT,,REJECT,,,REJECT,FeatureEngineering,Filtered at FeatureEngineering (from profiler)
d98a52bf2f1ae5dd,2026-07-14T09:20:41.003778+00:00,unknown,REJECT,REJECT,,REJECT,,,REJECT,FeatureEngineering,Filtered at FeatureEngineering (from profiler)
82488dc861ac1749,2026-07-14T09:20:41.003778+00:00,unknown,REJECT,REJECT,,REJECT,,,REJECT,FeatureEngineering,Filtered at FeatureEngineering (from profiler)
e8b0fc00afb3ed01,2026-07-14T09:20:41.003778+00:00,unknown,REJECT,REJECT,,REJECT,,,REJECT,FeatureEngineering,Filtered at FeatureEngineering (from profiler)
6b89b77bf25b0754,2026-07-14T09:20:41.004778+00:00,unknown,REJECT,REJECT,,REJECT,,,REJECT,FeatureEngineering,Filtered at FeatureEngineering (from profiler)
216f3c684016b313,2026-07-14T09:20:41.004778+00:00,unknown,REJECT,REJECT,,REJECT,,,REJECT,FeatureEngineering,Filtered at FeatureEngineering (from profiler)
45753ac22bf1809d,2026-07-14T09:20:41.004778+00:00,unknown,REJECT,REJECT,,REJECT,,,REJECT,FeatureEngineering,Filtered at FeatureEngineering (from profiler)
6618ae07ee1a3ab5,2026-07-14T09:20:41.004778+00:00,unknown,REJECT,REJECT,,REJECT,,,REJECT,FeatureEngineering,Filtered at FeatureEngineering (from profiler)
b268cfc6988b1fcb,2026-07-14T09:20:41.004778+00:00,unknown,REJECT,REJECT,,REJECT,,,REJECT,FeatureEngineering,Filtered at FeatureEngineering (from profiler)
1223144cb7fe1ff4,2026-07-14T09:20:41.004778+00:00,unknown,REJECT,REJECT,,REJECT,,,REJECT,FeatureEngineering,Filtered at FeatureEngineering (from profiler)
96333522dfb73cf5,2026-07-14T09:20:41.004778+00:00,unknown,REJECT,REJECT,,REJECT,,,REJECT,FeatureEngineering,Filtered at FeatureEngineering (from profiler)
5f260954516e7b9b,2026-07-14T09:20:41.004778+00:00,unknown,REJECT,REJECT,,REJECT,,,REJECT,FeatureEngineering,Filtered at FeatureEngineering (from profiler)
b5b760b31af754c8,2026-07-14T09:20:41.004778+00:00,unknown,REJECT,REJECT,,REJECT,,,REJECT,FeatureEngineering,Filtered at FeatureEngineering (from profiler)
d0d9589048d3e443,2026-07-14T09:20:41.004778+00:00,unknown,REJECT,REJECT,,REJECT,,,REJECT,FeatureEngineering,Filtered at FeatureEngineering (from profiler)
ebecbc1c3eacae9b,2026-07-14T09:20:41.004778+00:00,unknown,REJECT,REJECT,,REJECT,,,REJECT,FeatureEngineering,Filtered at FeatureEngineering (from profiler)
5f0d3745a3882c28,2026-07-14T09:20:41.004778+00:00,unknown,REJECT,REJECT,,REJECT,,,REJECT,FeatureEngineering,Filtered at FeatureEngineering (from profiler)
4d329ce6a4b5b98a,2026-07-14T09:20:41.005777+00:00,unknown,REJECT,REJECT,,REJECT,,,REJECT,FeatureEngineering,Filtered at FeatureEngineering (from profiler)
d2c2e6c0a1cd2088,2026-07-14T09:20:41.005777+00:00,unknown,REJECT,REJECT,,REJECT,,,REJECT,FeatureEngineering,Filtered at FeatureEngineering (from profiler)
9003694f1cda126d,2026-07-14T09:20:41.005777+00:00,unknown,REJECT,REJECT,,REJECT,,,REJECT,FeatureEngineering,Filtered at FeatureEngineering (from profiler)
998045e89bc275bc,2026-07-14T09:20:41.005777+00:00,unknown,REJECT,REJECT,,REJECT,,,REJECT,FeatureEngineering,Filtered at FeatureEngineering (from profiler)
c674ba8bedcb3618,2026-07-14T09:20:41.005777+00:00,unknown,REJECT,REJECT,,REJECT,,,REJECT,FeatureEngineering,Filtered at FeatureEngineering (from profiler)
2eeddacf1af55736,2026-07-14T09:20:41.005777+00:00,unknown,REJECT,REJECT,,REJECT,,,REJECT,FeatureEngineering,Filtered at FeatureEngineering (from profiler)
